# N	A1(s)	A2(s)	A3(s)	A4(s)
1000003	0.007000	0.003000	0.000000	0.000000
2000003	0.015000	0.006000	0.000000	0.000000
4000037	0.023000	0.008000	0.000000	0.000000
8000009	0.041000	0.020000	0.000000	0.000000
16000057	0.093000	0.037000	0.000000	0.000000
32000011	0.176000	0.091000	0.000000	0.000000
64000031	0.337000	0.190000	0.000000	0.000000
128000003	0.704000	0.346000	0.000000	0.000000
256000001	1.303000	0.752000	0.000000	0.000000
512000009	3.145000	1.361000	0.000000	0.000000
1024000009	5.384000	2.820000	0.000000	0.000000
2048000011	11.122000	6.101000	0.000000	0.000000
